date,stock
20220117,600036.SH
20220117,600048.SH
20220117,600050.SH
20220117,600061.SH
20220117,600079.SH
20220117,600085.SH
20220117,600104.SH
20220117,600109.SH
20220117,600111.SH
20220117,600115.SH
20220117,600132.SH
